"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年4月28日","682.80","682.80","682.80","682.80","-","0.87%"
"2020年4月27日","676.90","675.40","676.90","671.60","0.01K","1.06%"
"2020年4月24日","669.80","669.80","669.80","669.80","-","-0.06%"
"2020年4月23日","670.20","670.20","670.20","670.20","-","1.03%"
"2020年4月22日","663.40","663.40","663.40","663.40","-","1.36%"
"2020年4月21日","654.50","663.60","665.80","654.50","0.06K","-2.98%"
"2020年4月20日","674.60","670.00","674.60","663.40","0.10K","-0.43%"
"2020年4月17日","677.50","673.40","677.50","673.40","0.01K","3.67%"
"2020年4月16日","653.50","656.60","656.60","652.50","0.01K","0.69%"
"2020年4月15日","649.00","653.40","653.40","649.00","0.14K","-5.02%"
"2020年4月14日","683.30","683.50","686.40","683.30","0.07K","1.70%"
"2020年4月9日","671.90","678.80","678.80","666.00","0.02K","0.84%"
"2020年4月8日","666.30","656.20","666.30","656.20","0.03K","0.39%"
"2020年4月7日","663.70","672.20","676.60","662.00","0.06K","2.92%"
"2020年4月6日","644.90","644.90","644.90","644.90","-","5.88%"
"2020年4月3日","609.10","616.50","616.50","609.10","0.14K","-0.43%"
"2020年4月2日","611.70","612.90","612.90","611.70","0.00K","-0.62%"
"2020年4月1日","615.50","622.10","622.10","615.50","0.02K","-5.03%"
"2020年3月31日","648.10","646.20","650.30","639.10","0.02K","0.33%"
"2020年3月27日","646.00","660.80","662.00","646.00","0.03K","-3.44%"
"2020年3月26日","669.00","636.20","669.00","636.20","0.08K","7.50%"
"2020年3月25日","622.30","624.40","624.60","605.90","0.02K","10.36%"
"2020年3月23日","563.90","573.00","573.00","560.60","0.07K","-5.23%"
"2020年3月20日","595.00","583.50","597.80","580.00","0.14K","9.01%"
"2020年3月18日","545.80","555.70","558.50","540.10","0.08K","-13.37%"
"2020年3月13日","630.00","644.60","673.10","619.50","0.23K","-0.46%"
"2020年3月12日","632.90","678.80","679.50","631.00","0.19K","-12.39%"
"2020年3月11日","722.40","742.60","742.60","722.40","0.20K","-1.47%"
"2020年3月10日","733.20","747.30","767.20","733.20","0.59K","-1.16%"
"2020年3月9日","741.80","740.00","752.20","740.00","0.24K","-7.02%"
"2020年3月6日","797.80","806.80","809.00","792.70","0.19K","-4.26%"
"2020年3月5日","833.30","854.20","854.20","828.90","0.15K","-1.77%"
"2020年3月4日","848.30","847.20","853.50","843.40","0.16K","0.17%"
"2020年3月3日","846.90","858.50","864.50","846.90","0.19K","1.38%"
"2020年3月2日","835.40","855.00","858.00","818.00","0.82K","-0.38%"
"2020年2月28日","838.60","838.50","845.00","829.30","0.49K","-4.14%"
"2020年2月27日","874.80","880.80","884.50","859.40","0.20K","-2.77%"
"2020年2月26日","899.70","891.80","901.40","876.30","0.25K","-0.16%"
"2020年2月25日","901.10","916.90","916.90","901.00","0.14K","-1.62%"
"2020年2月24日","915.90","923.70","924.40","909.80","0.21K","-3.99%"
"2020年2月21日","954.00","956.80","962.30","953.20","0.09K","-1.31%"
"2020年2月20日","966.70","967.30","972.70","966.70","0.05K","0.37%"
"2020年2月19日","963.10","962.90","963.10","961.70","0.03K","0.70%"
"2020年2月18日","956.40","956.90","960.30","956.40","0.02K","-0.73%"
"2020年2月17日","963.40","962.70","963.40","962.70","0.01K","-0.16%"
"2020年2月14日","964.90","967.10","967.30","964.90","0.02K","-0.07%"
"2020年2月13日","965.60","967.60","967.60","962.90","0.07K","-0.80%"
"2020年2月12日","973.40","975.20","975.20","973.30","0.04K","0.16%"
"2020年2月11日","971.80","971.80","971.80","971.80","-","0.79%"
"2020年2月10日","964.20","964.90","967.50","962.00","0.05K","-0.17%"
"2020年2月7日","965.80","969.00","969.00","965.70","0.01K","-0.32%"
"2020年2月6日","968.90","975.80","976.60","967.70","0.07K","-0.03%"
"2020年2月5日","969.20","964.00","972.60","964.00","0.13K","0.82%"
"2020年2月4日","961.30","951.40","961.30","951.40","0.01K","1.54%"
"2020年2月3日","946.70","941.60","947.20","941.60","0.02K","0.68%"
"2020年1月31日","940.30","948.80","950.10","940.30","0.07K","-1.07%"
"2020年1月30日","950.50","951.50","952.00","949.30","0.06K","-1.70%"
"2020年1月29日","966.90","955.00","966.90","955.00","0.09K","1.35%"
"2020年1月28日","954.00","948.80","955.50","944.20","0.11K","0.97%"
"2020年1月27日","944.80","954.70","955.00","944.30","0.10K","-2.67%"
"2020年1月24日","970.70","964.30","972.80","964.30","0.09K","1.73%"
"2020年1月23日","954.20","958.00","958.40","953.20","0.06K","-0.52%"
"2020年1月22日","959.20","963.90","965.20","959.20","0.03K","-0.09%"
"2020年1月21日","960.10","954.10","960.10","954.10","0.02K","-0.48%"
"2020年1月20日","964.70","965.10","965.30","963.40","0.06K","0.15%"
"2020年1月17日","963.30","963.20","964.40","962.40","0.05K","1.01%"
"2020年1月16日","953.70","954.90","955.90","951.70","0.05K","0.41%"
"2020年1月15日","949.80","952.10","952.10","947.90","0.07K","-0.04%"
"2020年1月14日","950.20","940.00","950.20","939.40","0.04K","0.65%"
"2020年1月13日","944.10","947.60","947.60","943.70","0.03K","-0.24%"
"2020年1月10日","946.40","946.70","947.60","946.40","0.03K","-0.26%"
"2020年1月9日","948.90","951.00","951.00","948.50","0.08K","0.52%"
"2020年1月8日","944.00","934.70","944.10","934.40","0.08K","0.61%"
"2020年1月7日","938.30","941.90","943.70","936.90","0.08K","0.09%"
"2020年1月6日","937.50","928.80","937.60","928.80","0.05K","-0.42%"
"2020年1月3日","941.50","940.40","941.50","936.60","0.09K","-0.75%"
"2020年1月2日","948.60","946.10","950.30","945.30","0.04K","0.72%"
